"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 81)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 82)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 83)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 84)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 85)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 86)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 87)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 88)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 89)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 90)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 91)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 92)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 93)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 94)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 95)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 96)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 97)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 98)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 99)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 100)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 101)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 102)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 103)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 104)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 105)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 106)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 107)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 108)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 109)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 110)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 111)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 112)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 113)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 114)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 115)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 116)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 117)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 118)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 119)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 120)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 121)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 122)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 123)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 124)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 125)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 126)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 127)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 128)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 129)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 130)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 131)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 132)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 133)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 134)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 135)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 136)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(1, 137)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 138)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 139)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 140)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 141)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 142)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 143)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 144)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 145)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 146)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 147)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 148)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 149)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(1, 150)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 80)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 81)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 82)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 83)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 84)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 85)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 86)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 87)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 88)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 89)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 90)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 91)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 92)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 93)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 94)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 95)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 96)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 97)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 98)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 99)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 100)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 101)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 102)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 103)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 104)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 105)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 106)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 107)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 108)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 109)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 110)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 111)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 112)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 113)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 114)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 115)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 116)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 117)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 118)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 119)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 120)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 121)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 122)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 123)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(2, 124)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 125)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 126)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 127)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 128)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 129)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 130)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 131)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 132)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 133)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 134)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 135)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 136)",2016,04,JURONG WEST,858,136,Model A,1996,2941
"(2, 137)",2016,05,JURONG WEST,906,141,Apartment,1989,2993
"(2, 138)",2016,05,JURONG WEST,906,141,Apartment,1989,2993
"(2, 139)",2016,05,JURONG WEST,906,141,Apartment,1989,2993
"(2, 140)",2016,05,JURONG WEST,906,141,Apartment,1989,2993
"(2, 141)",2016,05,JURONG WEST,906,141,Apartment,1989,2993
"(2, 142)",2016,05,CHOA CHU KANG,679,144,Premium Apartment,1999,3264
"(2, 143)",2016,05,CHOA CHU KANG,679,144,Premium Apartment,1999,3264
"(2, 144)",2016,05,CHOA CHU KANG,679,144,Premium Apartment,1999,3264
"(2, 145)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 146)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 147)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 148)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 149)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(2, 150)",2016,04,JURONG WEST,709,155,Apartment,1993,3284
"(3, 80)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 81)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 82)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 83)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 84)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 85)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 86)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 87)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 88)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 89)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 90)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 91)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 92)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 93)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 94)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 95)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 96)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 97)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 98)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 99)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 100)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 101)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 102)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 103)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 104)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 105)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
"(3, 106)",2016,05,CHOA CHU KANG,464,123,Premium Apartment,2000,2878
